date,temperature,rainfall,humidity
2023-01-01,25,5,60
2023-01-02,24,3,55
2023-01-03,26,8,65
2023-01-04,27,6,63
2023-01-05,28,4,58
2023-01-06,25,3,57
2023-01-07,24,7,62
2023-01-08,26,5,61
2023-01-09,27,6,63
2023-01-10,28,8,65
2023-01-11,24,5,60
2023-01-12,25,3,55
2023-01-13,26,8,65
2023-01-14,27,6,63
2023-01-15,28,4,58
2023-01-16,25,3,57
2023-01-17,24,7,62
2023-01-18,26,5,61
2023-01-19,27,6,63
2023-01-20,28,8,65
2023-01-21,24,5,60
2023-01-22,25,3,55
2023-01-23,26,8,65
2023-01-24,27,6,63
2023-01-25,28,4,58
2023-01-26,25,3,57
2023-01-27,24,7,62
2023-01-28,26,5,61
2023-01-29,27,6,63
2023-01-30,28,8,65
2023-01-31,24,5,60
2023-02-01,25,3,55
2023-02-02,26,8,65
2023-02-03,27,6,63
2023-02-04,28,4,58
2023-02-05,25,3,57
2023-02-06,24,7,62
2023-02-07,26,5,61
2023-02-08,27,6,63
2023-02-09,28,8,65
2023-02-10,24,5,60
2023-02-11,25,3,55
2023-02-12,26,8,65
2023-02-13,27,6,63
2023-02-14,28,4,58
2023-02-15,25,3,57
2023-02-16,24,7,62
2023-02-17,26,5,61
2023-02-18,27,6,63
2023-02-19,28,8,65
2023-02-20,24,5,60
2023-02-21,25,3,55
2023-02-22,26,8,65
2023-02-23,27,6,63
2023-02-24,28,4,58
2023-02-25,25,3,57
2023-02-26,24,7,62
2023-02-27,26,5,61
2023-02-28,27,6,63
2023-03-01,28,8,65
2023-03-02,24,5,60
2023-03-03,25,3,55
2023-03-04,26,8,65
2023-03-05,27,6,63
2023-03-06,28,4,58
2023-03-07,25,3,57
2023-03-08,24,7,62
2023-03-09,26,5,61
2023-03-10,27,6,63
2023-03-11,28,8,65
2023-03-12,24,5,60
2023-03-13,25,3,55
2023-03-14,26,8,65
2023-03-15,27,6,63
2023-03-16,28,4,58
2023-03-17,25,3,57
2023-03-18,24,7,62
2023-03-19,26,5,61
2023-03-20,27,6,63
2023-03-21,28,8,65
2023-03-22,24,5,60
2023-03-23,25,3,55
2023-03-24,26,8,65
2023-03-25,27,6,63
2023-03-26,28,4,58
2023-03-27,25,3,57
2023-03-28,24,7,62
2023-03-29,26,5,61
2023-03-30,27,6,63
2023-03-31,28,8,65
2023-04-01,24,5,60
2023-04-02,25,3,55
2023-04-03,26,8,65
2023-04-04,27,6,63
2023-04-05,28,4,58
2023-04-06,25,3,57
2023-04-07,24,7,62
2023-04-08,26,5,61
2023-04-09,27,6,63
2023-04-10,28,8,65
